W0,W1,Z0,X0,t,t_bin,y,noise_t,noise_y,noise_y_t0,noise_y_t1,R0
-2.863469,3.866439,1,-0.075805,0.240219,1,5.564749,-0.341577,-0.001245,-0.016402,-0.021035,-0.284494
0.69945,0.8048,1,1.251749,2.622101,1,5.543024,0.867193,-0.023382,-0.005478,0.014948,-1.237323
0.565525,-0.031784,1,-0.328845,0.633067,0,0.160138,-0.939703,-0.01291,0.002625,-0.01973,0.626817
-1.774796,1.654755,1,-1.766976,1.912686,1,5.032822,1.157553,0.003286,-0.017044,0.009642,-1.253474
-0.678966,-0.226398,1,-0.294244,0.95086,1,4.686563,-0.028803,0.002922,-0.020739,0.007211,0.509223
-0.993327,1.465706,1,0.542262,-0.246082,1,5.262234,-1.328503,0.006725,-0.017612,0.003196,-2.16403
-0.954264,0.399173,1,0.459267,1.625662,1,4.843437,0.680215,-0.00781,0.002591,-0.005228,-1.06837
-2.390541,1.113024,0,-1.057791,-1.122472,0,-0.347619,-0.19885,0.002599,-0.004847,0.005028,-1.018941
-0.880395,1.992475,0,-0.153879,-1.818434,1,5.475225,-1.707838,-0.009459,-0.0062,0.010485,-0.408971
0.3468,0.790696,1,2.881991,1.925262,0,0.424361,0.332468,0.0026,-0.005856,-0.009858,0.173854
2.308568,1.834308,1,-1.035952,3.64122,1,6.452662,1.006596,0.000532,-0.014241,0.009764,-1.937358
0.143313,1.774588,1,0.85804,2.925284,1,5.746267,1.282136,-0.008209,-0.004564,0.009309,-1.795946
-0.128701,-0.962903,0,-1.899359,-0.576442,0,-0.401756,-0.378352,0.015582,-0.018204,0.002931,-2.089871
-0.766356,-0.000172,1,1.061109,1.11813,1,4.75153,0.145318,-0.017056,0.011876,-0.00538,0.632221
-0.851174,-0.660378,1,-0.695008,0.889083,0,-0.537787,0.050536,-0.001416,0.016923,0.009355,-0.390358
0.69652,2.903166,1,0.599405,3.547757,1,6.362264,1.489803,-0.008429,-0.023261,0.005083,-1.772334
0.040114,0.796037,1,-1.094209,0.643875,1,5.321066,-0.810489,0.018342,-0.004691,-0.01016,-1.131058
-0.88648,2.682258,1,0.48817,0.842725,0,0.760297,-0.464659,0.005984,-0.00404,-0.003674,0.493798
-1.272472,-0.731523,1,-0.711333,-0.197721,0,-0.708723,-0.83472,-0.006493,-0.001745,0.008191,-0.966082
-0.412675,0.328661,0,-0.517731,-1.588791,1,4.980206,-1.449151,-0.002797,0.010015,0.001146,-1.025151
-0.784569,1.701927,1,0.639303,1.459228,1,5.436425,0.247787,0.018613,-0.004662,0.01086,-1.46926
-0.256448,1.080704,1,-0.233068,2.962344,1,5.323103,1.601298,-0.009463,-0.000883,-0.003416,-1.712955
-0.48037,1.434289,1,0.577698,1.112211,1,5.394485,-0.198484,-0.017644,0.029791,-0.009999,0.495361
0.138429,-0.352379,1,0.006476,0.45051,0,-0.088984,-0.881897,0.00291,-0.001113,0.021936,0.985939
-1.516039,2.278232,1,0.264811,1.14988,1,5.398592,0.18686,0.003136,0.017662,-0.016809,-1.673157
0.841072,1.678445,1,0.642403,2.535035,1,5.948419,0.589118,0.00666,0.00502,-0.004998,0.716979
2.527393,1.303055,1,-0.152701,2.500526,1,6.34023,-0.156363,0.006726,-0.005537,0.002797,-1.175352
0.94272,0.215819,0,-0.798733,1.862743,1,5.395893,1.403535,0.017707,-0.007207,0.009861,-0.154315
-0.032282,1.225229,1,-0.334995,0.671397,1,5.443278,-0.812362,-0.017181,-7.3e-05,0.006464,0.722251
0.630841,0.609939,1,1.392456,1.408531,1,5.458609,-0.28697,-0.012028,-0.011265,0.023113,-0.83304
-1.260005,-0.749062,0,0.31349,-0.384586,0,-0.698353,0.295988,0.006622,-0.008639,-0.001176,-1.015905
-1.834214,0.851006,1,-0.647581,1.004539,0,-0.280938,0.392964,-0.011056,-0.004231,-0.00873,0.113118
0.52278,0.744699,1,0.598878,1.713228,1,5.45823,0.047228,-0.014566,0.002933,-0.002197,-1.797916
-0.789062,1.963831,1,0.665633,-0.031028,0,0.525021,-1.27842,0.018658,0.01826,-0.0032,0.459098
-1.597598,-1.332997,1,0.717316,2.740189,1,3.954112,2.338011,-0.016199,-0.00485,-0.000683,-0.545154
-1.131511,1.136629,0,-0.78052,-0.584693,1,5.053629,-0.23597,-0.003513,0.004615,-0.009825,-1.265714
-1.381472,-0.254139,1,-0.485074,0.767038,0,-0.552579,0.110268,-0.000594,-0.016279,0.007841,-1.292131
-0.116491,1.220652,0,-0.479512,0.740946,1,5.441441,0.616761,0.013091,0.010603,0.003708,-2.071426
0.331203,1.275709,0,-0.163331,-0.301125,0,0.586916,-0.636505,-0.018688,-0.017217,-0.012639,-1.224135
0.636828,0.814584,1,0.736236,1.78483,1,5.544153,0.056926,0.004155,0.007984,0.00968,-0.952001
0.643412,1.708722,0,0.493502,-0.137287,1,5.877041,-0.67719,-0.008904,-0.000809,-0.008115,-1.749257
0.504078,-0.344337,1,0.572534,1.915092,1,5.048166,0.415551,0.006276,-0.001207,-0.011828,-0.733428
-0.458086,2.009149,0,1.551336,-0.192514,0,0.623475,-0.276023,-0.009068,-0.003003,0.000873,-0.215046
-0.874397,0.19335,1,0.886208,1.220561,0,-0.195658,0.268719,0.015723,-0.013013,-0.017578,-0.901435
-1.759073,-0.65447,1,0.055515,-0.619231,0,-0.840773,-1.046537,-0.00901,-0.012483,0.005895,-0.025237
