A,B,C,D,E,outcome,treatment
-2.863469,-0.289116,-0.412328,0,0.242247,4.165131,1
0.69945,0.404915,-0.40924,1,0.905366,5.593695,1
0.565525,1.082307,-3.140228,1,1.379183,5.739608,1
-1.774796,-0.267213,-1.589257,0,0.6424,4.671601,1
-0.678966,-0.42492,-0.796592,1,0.32672,4.909545,1
-0.993327,-0.158172,-0.743448,1,0.479931,4.853854,1
-0.954264,1.149328,-0.428574,0,1.24125,0.166409,0
-2.390541,1.649867,-0.385615,0,0.894049,-0.441055,0
-0.880395,0.559331,0.82827,1,1.668726,5.381592,1
0.3468,0.778631,-0.375505,1,-0.248364,5.041318,1
2.308568,-0.432384,-1.000987,1,0.126093,0.819947,0
0.143313,1.074072,-2.287086,1,1.67457,5.729654,1
-0.128701,0.749054,-2.056553,1,0.099601,4.994355,1
-0.766356,-0.512811,-0.152471,1,2.285445,0.641916,0
-0.851174,-1.590355,0.372484,1,2.306634,5.579087,1
0.69652,-1.023253,0.853408,1,2.293755,6.097656,1
0.040114,-0.471886,-1.515856,1,0.020788,0.022958,0
-0.88648,1.359254,-0.991827,1,0.978324,0.098831,0
-1.272472,1.750177,-0.445629,1,0.407997,4.765691,1
-0.412675,-0.242201,1.359436,0,1.824592,0.552284,0
-0.784569,-0.210598,-0.573102,1,2.608034,5.756661,1
-0.256448,0.45894,0.8633,1,1.775018,5.642502,1
-0.48037,0.209464,-0.51799,1,0.910573,0.195213,0
0.138429,1.128251,0.465282,0,0.53589,0.254637,0
-1.516039,-0.325871,0.338617,1,1.550516,5.118668,1
0.841072,1.14646,-0.521875,1,-0.321445,5.177992,1
2.527393,-0.041908,-1.708346,1,1.437765,6.390236,1
0.94272,1.051292,-0.957057,1,-0.013262,5.328117,1
-0.032282,-0.073723,0.801082,1,1.521977,0.584866,0
0.630841,-0.415778,0.189862,1,0.740492,5.476128,1
-1.260005,2.109635,-1.121613,1,0.513165,-0.226637,0
-1.834214,1.262544,-1.030272,1,0.015917,-0.576357,0
0.52278,-1.594728,-2.418836,0,0.544684,5.355497,1
-0.789062,-0.249457,0.756376,1,1.457551,5.305435,1
-1.597598,1.40224,0.198101,1,1.94529,5.259469,1
