A,B,C,D,E,outcome,treatment
-2.863469,-0.075805,-0.284494,1,3.866439,5.564749,1
0.69945,1.251749,-1.237323,1,0.8048,5.543024,1
0.565525,-0.328845,0.626817,1,-0.031784,0.160138,0
-1.774796,-1.766976,-1.253474,1,1.654755,5.032822,1
-0.678966,-0.294244,0.509223,1,-0.226398,4.686563,1
-0.993327,0.542262,-2.16403,1,1.465706,5.262234,1
-0.954264,0.459267,-1.06837,1,0.399173,4.843437,1
-2.390541,-1.057791,-1.018941,0,1.113024,-0.347619,0
-0.880395,-0.153879,-0.408971,0,1.992475,5.475225,1
0.3468,2.881991,0.173854,1,0.790696,0.424361,0
2.308568,-1.035952,-1.937358,1,1.834308,6.452662,1
0.143313,0.85804,-1.795946,1,1.774588,5.746267,1
-0.128701,-1.899359,-2.089871,0,-0.962903,-0.401756,0
-0.766356,1.061109,0.632221,1,-0.000172,4.75153,1
-0.851174,-0.695008,-0.390358,1,-0.660378,-0.537787,0
0.69652,0.599405,-1.772334,1,2.903166,6.362264,1
0.040114,-1.094209,-1.131058,1,0.796037,5.321066,1
-0.88648,0.48817,0.493798,1,2.682258,0.760297,0
-1.272472,-0.711333,-0.966082,1,-0.731523,-0.708723,0
-0.412675,-0.517731,-1.025151,0,0.328661,4.980206,1
-0.784569,0.639303,-1.46926,1,1.701927,5.436425,1
-0.256448,-0.233068,-1.712955,1,1.080704,5.323103,1
-0.48037,0.577698,0.495361,1,1.434289,5.394485,1
0.138429,0.006476,0.985939,1,-0.352379,-0.088984,0
-1.516039,0.264811,-1.673157,1,2.278232,5.398592,1
0.841072,0.642403,0.716979,1,1.678445,5.948419,1
2.527393,-0.152701,-1.175352,1,1.303055,6.34023,1
0.94272,-0.798733,-0.154315,0,0.215819,5.395893,1
-0.032282,-0.334995,0.722251,1,1.225229,5.443278,1
0.630841,1.392456,-0.83304,1,0.609939,5.458609,1
-1.260005,0.31349,-1.015905,0,-0.749062,-0.698353,0
-1.834214,-0.647581,0.113118,1,0.851006,-0.280938,0
0.52278,0.598878,-1.797916,1,0.744699,5.45823,1
-0.789062,0.665633,0.459098,1,1.963831,0.525021,0
-1.597598,0.717316,-0.545154,1,-1.332997,3.954112,1
-1.131511,-0.78052,-1.265714,0,1.136629,5.053629,1
-1.381472,-0.485074,-1.292131,1,-0.254139,-0.552579,0
-0.116491,-0.479512,-2.071426,0,1.220652,5.441441,1
0.331203,-0.163331,-1.224135,0,1.275709,0.586916,0
0.636828,0.736236,-0.952001,1,0.814584,5.544153,1
0.643412,0.493502,-1.749257,0,1.708722,5.877041,1
0.504078,0.572534,-0.733428,1,-0.344337,5.048166,1
-0.458086,1.551336,-0.215046,0,2.009149,0.623475,0
-0.874397,0.886208,-0.901435,1,0.19335,-0.195658,0
-1.759073,0.055515,-0.025237,1,-0.65447,-0.840773,0
0.848727,-0.986568,-1.495103,1,0.629033,5.480202,1
-0.428652,-0.51723,0.31542,1,-1.193729,4.376776,1
-0.661303,-0.064388,-0.566148,1,1.155603,5.229553,1
0.928796,1.026447,0.857294,1,0.642179,0.565556,0
-1.149128,0.169985,1.726254,1,2.135116,5.44564,1
0.583875,-0.458879,-1.158207,1,1.550353,5.774444,1
0.045641,-0.535576,-1.117027,1,-0.490567,4.823388,1
-1.28875,0.127739,-0.934205,1,0.063042,4.590636,1
-0.326724,1.087305,-0.092261,0,1.422093,5.465543,1
0.722044,1.788336,0.638007,0,1.748508,5.949969,1
0.544675,-0.008452,-1.340771,0,2.12393,1.008235,0
1.244514,0.152574,-0.306719,1,2.115938,6.227786,1
0.087261,-1.016625,-0.82389,1,0.811906,0.335654,0
3.121376,2.13651,-0.069854,1,1.264085,6.559443,1
-1.171311,-1.203686,0.821495,0,2.200168,0.464141,0
-0.649558,1.368979,-0.928291,1,0.598121,5.032157,1
-0.311784,-0.168019,-2.357831,1,1.281155,5.406016,1
-1.66967,-0.402049,0.055939,1,0.574548,4.673693,1
